price,surface,arrondissement
1820,46.1,1
1750,41,1
1900,55,1
1950,46,1
1950,49,1
1960,67,1
2000,35,1
1900,90.6,1
2050,60,1
2100,47,1
2100,55,1
2145,68.95,1
2200,40,1
2216,68.95,1
2249,35,1
2300,70.9,1
2367,76,1
2390,71,1
2342,80,1
2315,71,1
2500,84.35,1
2470,55,1
2650,56,1
2650,98.3,1
2800,49,1
2800,57,1
2700,80,1
2941,96,1
2941,96.1,1
2941,96,1
2614,96,1
2999,76,1
2800,83,1
3000,50,1
3060,77.43,1
3000,84,1
3200,60,1
3700,70,1
3700,97,1
3900,70,1
4000,135,1
4000,80,1
4000,173.51,1
4000,104,1
4705,137.4,1
4722,161,1
7280,182,1
14300,347,1
15000,347,1
750,18,1
784,19,1
888,24,1
1100,28,1
1016,21,1
1250,21,1
1329,35.55,1
1910,71,1
2290,71,1
2700,50,1
2700,50,1
1300,34,1
1380,42,1
1423,44,1
1423,44,1
1450,47.3,1
1820,46.1,1
1905,65,1
1981,65.61,1
2000,79.82,1
2180,72.7,1
2359,80,1
2325,71,1
2900,105,1
2900,80,1
715,16.9,1
900,21,1
1700,57,1
2367,76.15,1
2700,104,1
1185,44.73,1
2840,77.08,1
1200,38,1
1400,49,1
1404,44.53,1
1003,23.4,1
1000,30,1
1704,56,1
800,15,1
850,20.7,1
854,25,1
1140,28,1
1165,34.11,1
1333,41.03,1
1500,35,1
1500,40,1
1550,42.8,1
1600,40,1
2050,62,1
2250,55,1
2300,65,1
2315,71,1
2500,32,1
2500,76,1
2500,77,1
2587,73.6,1
2807,94.9,1
2700,90,1
2900,110,1
3000,95,1
3000,95,1
3000,84,1
3000,101,1
3000,101,1
3000,90,1
3000,95,1
3000,101,1
3300,101,1
3500,78,1
3700,145.98,1
3750,70,1
4500,117,1
4705,137.4,1
5950,235,1
10000,200,1
800,19.44,1
855,24,1
1140,28,1
1177,33.11,1
1500,42,1
1560,50,1
1650,40,1
2000,35,1
3020,84,1
4500,115,1
15000,347,1
990,30,1
1101,34.64,1
2999,76.29,1
3490,109.55,1
4722,160,1
6800,200,1
15000,347,1
21000,180,1
820,25,1
1100,37,1
2750,50,1
3000,50,1
3750,70,1
3140,100,1
3000,,
980,25.5,1
15600,347,1
650,12,1
800,14,1
780,23,1
940,26,1
1120,41,1
1770,55,1
2300,85,1
3500,55,1
1940,40,1
1490,55,1
2020,58,1
2050,70,1
1610,44,1
1850,38,2
1885,51,2
2000,40,2
2100,46,2
2107,75,2
2150,83,2
2250,45,2
2400,58,2
2482,80,2
2415,75,2
2485,92,2
2600,62,2
3498,92,2
620,23.1,2
700,16,2
995,30,2
1000,19,2
1050,25,2
1300,22,2
1500,28,2
1640,64.11,2
1900,50,2
1230,38,2
1545,50,2
1700,43,2
1600,87,2
1860,75,2
3234,105.15,2
900,26,2
1100,35,2
1165,28,2
1250,30,2
895,28,2
1118,27.98,2
2200,27,2
2008,87.5,2
800,20,2
830,22,2
1300,32,2
2536,81.1,2
603,16.43,2
1100,37,2
1250,32,2
1380,40.09,2
1385,35,2
1400,33,2
1420,45,2
1850,50,2
1890,60,2
1890,60,2
2010,60,2
2010,50,2
2264,70,2
2100,50,2
2506,84,2
2700,99,2
3000,70,2
3000,70,2
3200,105,2
3000,106,2
4600,131,2
840,15,2
850,16,2
940,20,2
950,20,2
1100,25,2
1290,34,2
1640,47,2
2130,73,2
2175,65,2
2180,73,2
1087,32.13,2
1350,35,2
600,16,2
603,17,2
647,15.54,2
1270,39,2
1660,60,2
860,20,2
899,29.6,2
1375,50,2
799,18,2
899,34,2
5000,136,2
747,18,2
754,18,2
1166,27,2
1835,57,2
1700,30,2
758,23.75,2
1375,50,2
799,18,2
899,34,2
5000,136,2
747,18,2
754,18,2
1166,27,2
1835,57,2
1700,30,2
758,23.75,2
1375,50,2
799,18,2
899,34,2
5000,136,2
747,18,2
754,18,2
1166,27,2
1835,57,2
1700,30,2
758,23.75,2
1375,50,2
799,18,2
899,34,2
5000,136,2
747,18,2
754,18,2
1166,27,2
1835,57,2
1700,30,2
758,23.75,2
1375,50,2
799,18,2
899,34,2
5000,136,2
747,18,2
754,18,2
1166,27,2
1835,57,2
1700,30,2
758,23.75,2
1308,45,3
1400,29,3
1450,38,3
1490,40,3
1540,35,3
1580,40.81,3
1590,43,3
1640,52,3
1667,46.47,3
1600,45,3
1700,60,3
1750,64,3
1850,51,3
1800,46.42,3
1945,53.33,3
2040,59.83,3
2200,56,3
2240,69,3
2250,51,3
2320,60,3
2500,70,3
2500,80,3
2695,91.29,3
2695,91.29,3
2550,100,3
2780,94,3
2900,104,3
3320,100,3
3430,112,3
3500,125,3
3480,112,3
3480,112,3
3750,106,3
712,20.6,3
1050,20,3
1200,23,3
1250,23,3
1250,30,3
1280,30,3
1295,39,3
1300,30,3
1340,30,3
1335,38,3
1640,42,3
980,,
945,24,3
1095,33,3
1042,33.2,3
1150,30,3
1700,60.84,3
1800,48,3
1885,54,3
2090,62.87,3
2102,68.7,3
2650,90,3
3665,112,3
1030,24,3
1100,10,3
1150,36,3
1230,36,3
1555,29,3
1740,49,3
1800,60,3
1750,59,3
1790,62,3
1900,64,3
1787,77,3
2375,94,3
3200,114,3
519,11.7,3
646,18.41,3
744,24,3
860,20,3
950,29,3
1200,28,3
1250,37,3
1750,50,3
2358,94,3
725,22,3
1220,33,3
1220,36.35,3
1200,30,3
1350,40,3
1390,40,3
1400,32,3
1400,35,3
1419,44.37,3
1350,57,3
1520,55,3
1550,50,3
1850,64,3
1990,61.08,3
2000,41,3
2300,63.15,3
2500,80,3
2610,103,3
2675,81.35,3
2800,68,3
2995,115.45,3
2955,114,3
3000,84,3
3587,120.48,3
3650,102,3
3650,120,3
3650,123,3
3660,100,3
3480,112,3
5100,100,3
5500,159.3,3
600,12.01,3
816,23,3
830,18,3
930,26.8,3
981,26.04,3
1000,35.06,3
1000,24,3
1160,26,3
1176,45.19,3
1195,27.08,3
1275,36.12,3
1295,38.62,3
1295,39,3
1400,26,3
1510,29,3
1550,30,3
1865,55,3
1920,64,3
2200,57,3
2500,60,3
3500,113,3
775,20,3
1100,27,3
1250,30.5,3
1400,42.81,3
1650,50.1,3
1535,49.33,3
1850,64,3
2310,80,3
745,21,3
1217,31,3
1220,33,3
1280,29,3
1400,45,3
1400,43.12,3
1900,64,3
2136,55,3
1400,38,3
1504,45,3
402,10.1,3
1060,47,3
1415,49,3
6300,112,3
1401,35.9,3
1950,55,3
900,29,3
1220,35,3
1350,38,3
1490,41,3
1700,40,3
1954,78.04,3
3200,114,3
745,21,3
800,23,3
915,21,3
1300,38,3
1900,46,3
1180,27,3
1550,40,3
838,31,3
1280,41,3
2800,135,3
2480,80,3
1400,31,3
2990,130,3
990,22,3
2100,70,3
1800,50,4
1800,42,4
1800,72,4
1850,53,4
1875,53,4
1800,72.2,4
1950,50,4
1850,73,4
2044,64,4
2100,65,4
2100,65,4
2000,68,4
2150,65,4
2200,50,4
2280,55,4
2282,54,4
2300,80,4
2300,65,4
2324,64,4
2450,59.5,4
2475,91,4
2500,58.56,4
2595,88,4
2600,73,4
2850,82,4
3200,112,4
3234,103,4
3350,88,4
3400,103,4
3900,91,4
4250,123,4
4620,124.31,4
5500,160,4
5600,160,4
5600,157.72,4
5500,175,4
5500,159.3,4
7450,180,4
1590,,
765,19,4
910,24,4
950,18,4
950,20.05,4
1010,26,4
1100,27,4
1200,30,4
1200,20,4
1218,28.2,4
1300,24.25,4
1500,32,4
1550,59,4
2500,60,4
2850,82.06,4
6500,161.41,4
7500,150,4
1048,31.7,4
1235,35,4
1253,35.23,4
1260,35.5,4
1400,41,4
1530,35,4
1690,45,4
2000,55,4
2350,70,4
2661,88.3,4
645,15.96,4
790,19,4
815,20.89,4
930,15.5,4
956,22.4,4
900,20,4
930,21,4
930,21,4
996,23.1,4
1000,36,4
1120,28.39,4
2000,30.2,4
2450,83.3,4
4480,155,4
1430,51.06,4
1050,31,4
1150,31,4
750,19.75,4
3950,125.74,4
745,22.11,4
1409,50,4
1762,48,4
3200,111.05,4
9500,150,4
950,27,4
1000,29,4
1140,26,4
1250,37,4
1460,44,4
1500,40,4
1380,50,4
1500,44,4
1605,75.98,4
1690,56,4
1700,40,4
1624,46.3,4
1630,54,4
1750,53,4
1780,31,4
1800,42,4
1800,75,4
1900,47.13,4
1900,53,4
1995,75.7,4
2000,40,4
2200,63.32,4
2300,54,4
2309,88.38,4
2212,71.3,4
2500,52,4
2623,85.07,4
2800,72,4
3040,63,4
2900,130,4
3400,117.37,4
3680,108,4
3840,91,4
4050,99,4
4138,125,4
4340,183.69,4
4500,117,4
5000,100,4
4807,175,4
7450,180,4
25000,415,4
750,18.39,4
780,19,4
996,27.35,4
1100,27,4
1300,38,4
1400,33,4
2000,42,4
4100,127,4
1300,30,4
1138,26.2,4
1355,40,4
1500,35,4
2371,72,4
2300,85,4
1137,33,4
4600,160,4
655,16.5,4
650,15,4
680,16,4
885,31,4
1236,28,4
1400,33,4
1400,47,4
2200,55,4
930,18,4
1650,49.46,4
2212,72,4
930,16,4
712,18.66,4
1150,35,4
1290,46,4
730,17,4
795,18,4
1000,25,4
1246,30.15,4
1246,30.15,4
1480,40,4
2500,70,4
1000,35,4
1732,60,4
1350,32,4
1397,38,4
1137,33,4
1670,45,4
750,25,4
1000,25,4
1000,23,4
10500,230,4
2800,85,4
1800,50,4
1300,37,10
1400,47,10
1578,56.98,10
1590,40,10
1750,52.57,10
1795,73,10
1850,55,10
1988,73,10
1990,70,10
1995,68,10
2020,71.65,10
2100,88,10
2155,70.3,10
2156,70.3,10
2300,75.81,10
2301,75.81,10
2324,97,10
2445,113,10
2950,117,10
2970,140.38,10
2850,120,10
3250,169,10
3770,169,10
1580,,
390,10,10
568,17,10
570,13,10
668,18.54,10
684,28.23,10
710,17.57,10
800,21,10
750,14,10
770,18,10
799,24,10
875,25,10
860,30,10
860,30,10
932,28.54,10
945,28,10
969,30,10
1195,44,10
1250,27.6,10
1280,39,10
1600,55,10
1750,50,10
2614,105,10
2614,105,10
990,33,10
903,32,10
925,26.04,10
1075,42.44,10
1100,34,10
1111,40.63,10
1235,56.55,10
1427,53.83,10
1550,50,10
1562,61,10
1670,60,10
1921,70.17,10
2382,108,10
2400,100,10
2450,87.56,10
790,24,10
600,20.6,10
795,23,10
788,25,10
920,33,10
1100,31,10
820,24,10
1000,36.37,10
1200,36,10
530,12,10
1002,38.67,10
1150,48,10
1200,47,10
840,27.26,10
1200,35,10
1355,36,10
1100,32,10
1630,69,10
1880,87.57,10
795,25,10
1480,51.19,10
1496,63,10
958,28.3,10
733,25,10
825,20.6,10
834,28,10
1215,45.7,10
566,15.87,10
938,32.67,10
450,,
835,25,10
972,29.5,10
990,27,10
1050,29.4,10
1100,40,10
1159,43,10
1200,45,10
1200,45,10
1350,43.27,10
1350,45,10
1360,51.5,10
1360,46,10
1450,47,10
1462,57.62,10
1500,66,10
1550,50,10
1567,50.74,10
1574,61,10
1680,67,10
1700,93.6,10
1800,59.3,10
1800,83.83,10
1890,65,10
2200,75.04,10
2445,113.01,10
2750,116,10
598,18,10
690,21,10
750,19,10
710,19,10
750,22,10
780,25.24,10
790,22,10
825,23,10
850,16.3,10
990,33,10
1200,27,10
1355,58,10
1450,40,10
2760,106,10
1050,35,10
1750,60,10
2267,111.55,10
2748,108,10
498,14,10
550,14,10
675,20,10
680,20,10
700,19,10
734,23,10
800,21.88,10
820,20.9,10
1400,40,10
1664,68.42,10
1840,82.75,10
3650,169,10
830,27.46,10
1150,30,10
788,25,10
1574,61,10
1360,52,10
850,15,10
890,19,10
1250,40,10
860,18,10
2483,116,10
528,13,10
542,22,10
700,21,10
760,25,10
790,14,10
979,43.16,10
1950,90,10
650,14,10
465,12,10
1300,50,10
1488,63.61,10
550,12,10
795,25,10
850,35,10
700,10,10
1280,34,10
1545,65,10
1000,21.43,10
